Author	year	journal	primate_sp	plant_sp	Variable	Xc	Nc	Xe	Ne	lnR	Var(lnR)
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Pseudolmedia laevigata	Germination Proportion (%)	4	15	25	15	1.8326	0.0043
Martins MM	2006	Biotropica	Brachyteles arachnoides	Eugenia sp.	Germination Proportion (%)	56.7	30	25	20	-0.8189	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Pseudolmedia laevigata	Germination Proportion (%)	4	50	25	60	1.8326	0.0013
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Henriettea saldanhei	Days until 1st seed germinate	22	330	25	330	0.1278	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Ficus insipida	Germination Proportion (%)	5.5	200	25.1	1943	1.5181	0.0002
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Mouriri crassifolia	Germination time (days)	22	50	26	140	0.1671	0.0001
Bravo SP.	2009	Biotropica	Alouatta caraya	Eugenia punicifolia	Germination time (days)	32.2	33	26.1	33	-0.21	0.0001
Bravo SP.	2009	Biotropica	Alouatta caraya	Ocotea diospyrifolia	Germination time (days)	33.4	45	26.3	45	-0.239	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Eugenia  rostrata	Germination time (days)	13.2	11	27	11	0.7156	0.0006
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Tocoyena brasiliensis	Days until 1st seed germinate	38.5	26	27.5	26	-0.3365	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Cyclanthus bipartitus	Germination Proportion (%)	50	10	27.6	199	-0.5942	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Micropholis gardneriana	Germination Proportion (%)	66.7	36	27.8	36	-0.8752	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Calyptranthes lucida	Germination time (days)	14	60	28	60	0.6931	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Ficus insipida	Germination time (days)	21	200	28	1222	0.2877	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Heteropsis oblongifolia	Germination Proportion (%)	62.5	24	28.2	39	-0.7958	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Sarcaulus brasiliensis	Days until 1st seed germinate	29	32	29	32	0	0.0001
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Ateles geoffroyi	Dialium guianense	Germination Proportion (%)	15.87	10	29.37	10	0.6155	0.0005
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Castilla ulei	Germination Proportion (%)	42	15	30	15	-0.3365	0.0001
Martins MM	2006	Biotropica	Brachyteles arachnoides	Jacaratia spinosa	Germination time (days)	38	32	30	28	-0.2364	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Castilla ulei	Germination Proportion (%)	42	60	30	60	-0.3365	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia hypoleuca	Days until 1st seed germinate	18	270	30	270	0.5108	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia pachystachya	Germination Proportion (%)	12.4	420	30	420	0.8835	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Coccoloba densifrons	Germination time (days)	31.4	87	30.1	87	-0.0423	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia latecrenata	Germination Proportion (%)	18.4	385	30.4	385	0.5021	0
Martins MM	2006	Biotropica	Brachyteles arachnoides	Rudgea sp.	Germination time (days)	38	15	31	20	-0.2036	0.0001
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cordia lasiocalyx	Germination time (days)	30	53	31.5	53	0.0488	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Apeiba aspera	Germination Proportion (%)	28	15	32	15	0.1335	0.0002
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Chrysophyllum viride	Germination time (days)	35	127	32	38	-0.0896	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Apeiba aspera	Germination Proportion (%)	28	90	32	90	0.1335	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Cecropia obtusa	Days until 1st seed germinate	32	200	32	246	0	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Cecropia obtusa	Germination time (days)	30	200	32	246	0.0645	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Ficus americana	Germination Proportion (%)	2	200	32.2	1503	2.7788	0.0013
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Pourouma velutina	Germination time (days)	40.5	14	32.6	14	-0.217	0.0001
Chaves OM,  Stoner KE,  Arroyo-Rodríguez V, Estrada A	2011	International Journal of Primatology	Ateles geoffroyi	Ampelocera hottlei	Germination Proportion (%)	6.6	15	33	15	1.6094	0.0016
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Protium sagotianum	Germination Proportion (%)	15	52	33	51	0.7885	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Coccoloba densifrons	Germination Proportion (%)	35	129	33	129	-0.0588	0
Bravo SP.	2009	Biotropica	Alouatta caraya	Banara arguta	Germination Proportion (%)	30.9	50	33.9	50	0.0927	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Licania membranaceae	Days until 1st seed germinate	50	100	34	200	-0.3857	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Cyclanthus bipartitus	Germination time (days)	14	10	35	11	0.9163	0.0006
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Trichostigma octandrum	Germination Proportion (%)	97	32	35	17	-1.0194	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Pourouma cecropiifolia	Germination time (days)	7	12	35	38	1.6094	0.0017
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Helicostylis scabra	Germination time (days)	14	28	35	185	0.9163	0.0002
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia hypoleuca	Germination Proportion (%)	92	270	35	270	-0.9664	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Henriettea saldanhei	Germination time (days)	133	330	35	330	-1.335	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Asplundia peruviana	Germination time (days)	49	14	35	441	-0.3365	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Marcgravia longifolia	Germination time (days)	28	70	35	1772	0.2231	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Marcgravia longifolia	Germination time (days)	28	70	35	2338	0.2231	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cordia bicolor	Germination time (days)	38	95	35.5	95	-0.0681	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia  lepidota	Germination Proportion (%)	83.6	300	35.7	300	-0.8509	0
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Ficus sp.	Germination time (days)	34	4800	36	4800	0.0572	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Castilla ulei	Germination time (days)	33.1	30	36.8	30	0.106	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Guapira  cuspidata	Germination Proportion (%)	0.1	175	37	175	5.9135	0.5714
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Cecropia obtusifolia	Germination time (days)	28	2334	37	2334	0.2787	0
Chaves OM,  Stoner KE,  Arroyo-Rodríguez V, Estrada A	2011	International Journal of Primatology	Ateles geoffroyi	Spondias radlkoferi	Germination Proportion (%)	2.5	40	38	24	2.7213	0.004
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Parkia panurensis	Germination Proportion (%)	61.5	26	38.3	287	-0.4736	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Helicostylis tomentosa	Germination time (days)	32	44	38.9	44	0.1953	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Castilla ulei	Germination Proportion (%)	100	24	39	82	-0.9416	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Bagassa guianensis	Days until 1st seed germinate	50	200	39	378	-0.2485	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Pourouma velutina	Germination Proportion (%)	50	14	40	14	-0.2231	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Leonia glycicarpa	Germination Proportion (%)	71.4	14	40	15	-0.5794	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Buchenavia parviflora	Germination Proportion (%)	0.1	10	40	20	5.9915	10
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Chrysophyllum splendens	Germination Proportion (%)	40	38	40	38	0	0
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Genipa americana	Germination Proportion (%)	21	100	40	100	0.6444	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Hyeronima alchorneoides	Germination time (days)	34	21	40.8	21	0.1823	0.0001
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Acacia collinsii	Germination Proportion (%)	31.16	600	41.8	282	0.2938	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Duroia hirsuta	Germination time (days)	49	13	42	12	-0.1542	0.0001
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Protium sagotianum	Germination Proportion (%)	32	15	42	15	0.2719	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Asplundia peruviana	Germination time (days)	49	14	42	32	-0.1542	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Pourouma cecropiifolia	Germination time (days)	7	12	42	44	1.7918	0.0017
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Helicostylis scabra	Germination time (days)	14	28	42	51	1.0986	0.0002
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Inga sp.	Germination time (days)	42	14	42	59	0	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Protium sagotianum	Germination Proportion (%)	32	60	42	60	0.2719	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Telitoxicum minutifolium	Germination time (days)	49	12	42	61	-0.1542	0
Martins MM	2006	Biotropica	Brachyteles arachnoides	Celtis spinosa	Germination Proportion (%)	44	50	42	100	-0.0465	0
Martins MM	2006	Biotropica	Alouatta caraya	Eugenia sp.	Germination Proportion (%)	56.7	30	42.5	40	-0.2883	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Gustavia hexapetala	Germination Proportion (%)	45	15	43	15	-0.0455	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Gustavia hexapetala	Germination Proportion (%)	45	60	43	70	-0.0455	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Goupia glabra	Days until 1st seed germinate	48	100	43	375	-0.11	0
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Sciadodendron excelsum	Germination Proportion (%)	58	100	45	100	-0.2538	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Ficus pertusa	Germination Proportion (%)	8	280	45	308	1.7272	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Heteropsis spruceana	Germination Proportion (%)	100	11	45.7	46	-0.7831	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Sarcaulus brasiliensis	Germination Proportion (%)	77	10	46	10	-0.5152	0.0001
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Ficus nymphaeifolia	Germination Proportion (%)	4	15	46	15	2.4423	0.0042
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Duguetia lucida	Germination Proportion (%)	0.1	50	46	50	6.1312	2
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Sarcaulus brasiliensis	Germination Proportion (%)	77	30	46	50	-0.5152	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Ficus nymphaeifolia	Germination Proportion (%)	4	90	46	90	2.4423	0.0007
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Goupia glabra	Germination Proportion (%)	33	100	46.4	375	0.3408	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Brosimum lactescens	Germination Proportion (%)	49	31	47	29	-0.0417	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Licania membranaceae	Germination Proportion (%)	46	100	47	200	0.0215	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Pseudolmedia laevis	Germination time (days)	57.6	70	47.8	70	-0.1865	0
Martins MM	2006	Biotropica	Alouatta caraya	Celtis spinosa	Germination time (days)	51	22	48	44	-0.0606	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Goupia glabra	Germination time (days)	105	100	48	375	-0.7828	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Helicostylis scabra	Germination Proportion (%)	89.3	28	48.6	185	-0.6084	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Heteropsis oblongifolia	Germination time (days)	49	24	49	18	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Heteropsis oblongifolia	Germination time (days)	49	24	49	39	0	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Randia sp.	Germination time (days)	31	40	49	40	0.4578	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Duroia hirsuta	Germination time (days)	49	13	49	52	0	0
González-Di Pierro AM,  Benítez-Malvido J, Méndez-Toribio M,  Zermeño I, Arroyo-Rodríguez V, Stoner KE	2011	Biotropica	Alouatta pigra	Ampelocera hottlei	Germination Proportion (%)	63.8	10	49.3	10	-0.2578	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Roucheria punctata	Germination Proportion (%)	85.7	14	50	34	-0.5388	0
Martins MM	2006	Biotropica	Brachyteles arachnoides	Celtis spinosa	Germination time (days)	51	22	50	44	-0.0198	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Drypetes variabilis	Days until 1st seed germinate	63	50	50	100	-0.2311	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Licania membranaceae	Germination time (days)	50	100	50	200	0	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Bagassa guianensis	Germination time (days)	43	200	50	378	0.1508	0
Benitez-Malvido J, González-Di Pierro AM, Lombera R, Guillén S & Estrada A	2014	American Journal of Botany	Alouatta pigra	Dialium guianense	Germination Proportion (%)	15.87	10	50.93	10	1.166	0.0004
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Chrysophyllum viride	Germination Proportion (%)	79	127	51	38	-0.4376	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Psidium guava	Germination time (days)	18.3	3	52	3	1.0443	0.0011
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Crepidospermum rhoifolium	Germination Proportion (%)	10	15	52	15	1.6487	0.0007
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Crepidospermum rhoifolium	Germination Proportion (%)	10	60	52	60	1.6487	0.0002
Martins MM	2006	Biotropica	Brachyteles arachnoides	Eugenia sp.	Germination time (days)	62	17	53	5	-0.1568	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Cecropia sciadophylla	Germination Proportion (%)	43	90	53	90	0.2091	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Cecropia sciadophylla	Germination Proportion (%)	43	15	54	15	0.2278	0.0001
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Micropholis gardneriana	Germination time (days)	59	36	54	36	-0.0886	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia hololeuca	Germination time (days)	82	360	54	360	-0.4177	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Mendoncia klugii	Germination Proportion (%)	8.3	12	54.5	11	1.8819	0.0012
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Simarouba amara	Germination Proportion (%)	13	10	55	10	1.4424	0.0006
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Helicostylis tomentosa	Germination Proportion (%)	5	15	55	15	2.3979	0.0027
Chaves OM,  Stoner KE,  Arroyo-Rodríguez V, Estrada A	2011	International Journal of Primatology	Ateles geoffroyi	Cissus verticillata	Germination Proportion (%)	6.2	16	55	20	2.1828	0.0016
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Simarouba amara	Germination Proportion (%)	13	40	55	50	1.4424	0.0002
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Helicostylis tomentosa	Germination Proportion (%)	5	60	55	60	2.3979	0.0007
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Cordia lomatoloba	Germination Proportion (%)	62	100	55	100	-0.1198	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Buchenavia parviflora	Germination Proportion (%)	0.1	10	55.9	53	6.3261	10
Martins MM	2006	Biotropica	Alouatta caraya	Eugenia sp.	Germination time (days)	62	17	56	17	-0.1018	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Heteropsis spruceana	Germination time (days)	21	11	56	29	0.9808	0.0002
Martins MM	2006	Biotropica	Brachyteles arachnoides	Jacaratia spinosa	Germination Proportion (%)	34	94	56	50	0.499	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Anomospermum grandifolium	Germination time (days)	49	14	56	258	0.1335	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Anomospermum grandifolium	Germination time (days)	49	14	56	304	0.1335	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Hyeronima alchorneoides	Germination Proportion (%)	30	200	57	270	0.6419	0
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Cecropia obtusifolia	Germination Proportion (%)	0.5	2334	57.6	2334	4.7467	0.0017
Bravo SP.	2009	Biotropica	Alouatta caraya	Ocotea diospyrifolia	Germination Proportion (%)	54.3	45	57.7	45	0.0607	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Inga alba	Germination Proportion (%)	7	15	58	15	2.1145	0.0014
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Inga alba	Germination Proportion (%)	7	60	58	60	2.1145	0.0003
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Tocoyena brasiliensis	Germination time (days)	76	26	58.5	26	-0.2617	0
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Pouteria hispida	Germination Proportion (%)	50	32	59.4	32	0.1723	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Simira viridiflora	Germination time (days)	26.5	2	59.5	2	0.8088	0.0009
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Roucheria punctata	Germination Proportion (%)	85.7	14	59.9	167	-0.3582	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Anomospermum reticulatum	Germination Proportion (%)	60	5	60	5	0	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Inga thibaudiana	Germination Proportion (%)	20	6	60	6	1.0986	0.0005
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Faramea sessifolia	Germination Proportion (%)	44	25	60	25	0.3102	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Mendoncia klugii	Germination Proportion (%)	8.3	12	60	25	1.9781	0.0012
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia latecrenata	Germination Proportion (%)	47	40	60	40	0.2442	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Drypetes variabilis	Germination Proportion (%)	50	50	60	100	0.1823	0
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Ficus sp.	Germination Proportion (%)	18.3	4800	60.1	4800	1.1891	0
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Pseudolmedia oxyphyllaria	Germination Proportion (%)	30.3	100	60.6	80	0.6931	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Pseudolmedia laevis	Germination Proportion (%)	17	90	61	90	1.2777	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Parkia panurensis	Germination Proportion (%)	61.5	26	61.5	201	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Tococa guianensis	Germination time (days)	35	21	63	45	0.5878	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Drypetes variabilis	Germination time (days)	59	50	63	100	0.0656	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Ficus insipida	Germination Proportion (%)	20	200	63	200	1.1474	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Cecropia sciadophylla	Germination time (days)	35	10	63	3327	0.5878	0.0001
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Ficus sp.	Germination Proportion (%)	21	200	64	203	1.1144	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Miconia argentea	Germination Proportion (%)	99	1016	64	1013	-0.4362	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Chrysophyllum prieurri	Germination Proportion (%)	79	100	64.3	112	-0.2059	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Anomospermum reticulatum	Germination time (days)	56	5	65	5	0.149	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Goupia glabra	Germination Proportion (%)	53.3	15	65	20	0.1985	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Cryptocarya mandioccana	Germination Proportion (%)	47	50	65	94	0.3242	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Mouriri crassifolia	Germination Proportion (%)	38	50	65	140	0.5368	0
Domínguez-Domínguez LE, Morales-Mávil JE, Alba-Landa J	2006	Revista de Biología Tropical	Ateles geoffroyi	Ficus insipida	Germination Proportion (%)	8.9	25	65.3	25	1.9929	0.0005
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia hololeuca	Germination Proportion (%)	61.7	120	65.8	120	0.0643	0
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Tetragastris panamensis	Germination Proportion (%)	37.8	45	66.7	45	0.5679	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Anomospermum grandifolium	Germination Proportion (%)	87.5	14	66.9	258	-0.2684	0
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Ficus insipida	Germination Proportion (%)	70	15	67	15	2.2588	0.0014
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Inga edulis	Germination Proportion (%)	7	15	67	15	-0.0438	0
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cecropia obustifolia	Germination Proportion (%)	10	60	67	40	1.9021	0.0002
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Alouatta seniculus	Castilla ulei	Germination Proportion (%)	92	92	67	60	-0.3171	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Inga edulis	Germination Proportion (%)	7	60	67	60	2.2588	0.0003
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Pseudolmedia oxyphyllaria	Germination time (days)	81	100	67	80	-0.1898	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Ficus insipida	Germination Proportion (%)	70	90	67	90	-0.0438	0
